species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
celegan	bc	31	4	739.4909	1388.09	compute-e-16-240.o2.rc.hms.harvard.edu	739.25	1692.056
celegan	bc	32	4	1209.4784	1449.46	compute-e-16-185.o2.rc.hms.harvard.edu	1208.92	1905.092
celegan	pa	11	1	38.9489	99.47	compute-a-17-76.o2.rc.hms.harvard.edu	38.9	105.976
celegan	pa	12	1	39.7025	296.61	compute-a-16-111.o2.rc.hms.harvard.edu	38.93	338.612
celegan	pa	13	1	78.1522	972.81	compute-a-16-145.o2.rc.hms.harvard.edu	78.09	1009.072
celegan	pa	14	1	77.0535	1873.69	compute-e-16-242.o2.rc.hms.harvard.edu	77	2027.38
celegan	pa	15	1	125.0715	2441.06	compute-a-16-79.o2.rc.hms.harvard.edu	124.83	2497.712
celegan	pa	16	1	121.8819	2840.40	compute-a-16-171.o2.rc.hms.harvard.edu	121.79	2906.644
celegan	pa	17	1	184.9263	3996.37	compute-e-16-240.o2.rc.hms.harvard.edu	184.88	4090.356
celegan	pa	18	1	111.4125	3997.93	compute-e-16-180.o2.rc.hms.harvard.edu	111.36	4091.944
celegan	pa	19	1	150.0192	3885.68	compute-a-16-129.o2.rc.hms.harvard.edu	149.96	4091.684
celegan	pa	20	1	139.8567	3996.91	compute-a-16-151.o2.rc.hms.harvard.edu	139.78	4091.14
celegan	pa	21	1	129.9613	3997.41	compute-e-16-181.o2.rc.hms.harvard.edu	129.91	4091.42
celegan	pa	22	1	495.577	3998.27	compute-a-16-104.o2.rc.hms.harvard.edu	495.48	4092.316
celegan	pa	23	1	152.6178	3988.71	compute-f-17-16.o2.rc.hms.harvard.edu	152.57999999999998	4091.076
celegan	pa	24	1	146.422	3998.86	compute-e-16-185.o2.rc.hms.harvard.edu	146.37	4092.896
celegan	pa	25	1	159.7484	4007.34	compute-a-17-75.o2.rc.hms.harvard.edu	159.69	4101.584
celegan	pa	26	1	186.4321	4014.77	compute-e-16-188.o2.rc.hms.harvard.edu	186.38	4109.196
celegan	pa	27	1	156.5009	4021.44	compute-a-16-151.o2.rc.hms.harvard.edu	156.43	4116.02
celegan	pa	28	1	147.3227	4027.49	compute-e-16-188.o2.rc.hms.harvard.edu	147.28	4122.212
celegan	pa	29	1	134.6881	4033.05	compute-e-16-242.o2.rc.hms.harvard.edu	134.64	4127.916
celegan	pa	30	1	161.1834	4038.21	compute-e-16-239.o2.rc.hms.harvard.edu	161.05	4133.2
celegan	pa	31	1	158.4176	4043.00	compute-a-17-127.o2.rc.hms.harvard.edu	158.36	4138.096
celegan	pa	32	1	147.4157	4047.48	compute-f-17-09.o2.rc.hms.harvard.edu	147.37	4142.688
ecoli	bc	11	1	110.7481	200.87	compute-e-16-185.o2.rc.hms.harvard.edu	110.4	1140.488
ecoli	bc	12	1	169.4456	1088.05	compute-e-16-189.o2.rc.hms.harvard.edu	169.02	1110.792
ecoli	bc	13	1	178.153	315.07	compute-e-16-180.o2.rc.hms.harvard.edu	177.79	1102.32
ecoli	bc	14	1	163.3033	594.95	compute-e-16-186.o2.rc.hms.harvard.edu	162.98	1115.808
ecoli	bc	15	1	134.6859	331.48	compute-e-16-187.o2.rc.hms.harvard.edu	134.55	1099.884
ecoli	bc	16	1	126.3977	313.88	compute-e-16-240.o2.rc.hms.harvard.edu	126.25	1094.804
ecoli	bc	17	1	126.1262	1064.65	compute-e-16-238.o2.rc.hms.harvard.edu	126.04	1088.868
ecoli	bc	18	1	116.9596	305.06	compute-e-16-238.o2.rc.hms.harvard.edu	116.89	1055.596
ecoli	bc	19	1	120.7322	313.14	compute-f-17-16.o2.rc.hms.harvard.edu	120.64	875.176
ecoli	bc	20	1	116.7009	300.54	compute-e-16-239.o2.rc.hms.harvard.edu	116.62	783.7
ecoli	bc	21	1	102.194	292.63	compute-e-16-182.o2.rc.hms.harvard.edu	102.13	596.836
ecoli	bc	22	1	128.9108	295.20	compute-f-17-15.o2.rc.hms.harvard.edu	128.83	581.348
ecoli	bc	23	1	113.0921	291.00	compute-e-16-184.o2.rc.hms.harvard.edu	113.00999999999999	538.324
ecoli	bc	24	1	112.0174	287.86	compute-e-16-239.o2.rc.hms.harvard.edu	111.95	519.524
ecoli	bc	25	1	115.3001	286.20	compute-e-16-193.o2.rc.hms.harvard.edu	115.22	534.632
ecoli	bc	26	1	113.371	284.34	compute-e-16-182.o2.rc.hms.harvard.edu	113.15	528.576
ecoli	bc	27	1	121.3642	395.59	compute-a-17-59.o2.rc.hms.harvard.edu	121.28	485.684
ecoli	bc	28	1	113.5758	274.65	compute-e-16-181.o2.rc.hms.harvard.edu	113.49000000000001	484.564
ecoli	bc	29	1	114.5035	274.25	compute-e-16-240.o2.rc.hms.harvard.edu	114.42	449.416
ecoli	bc	30	1	110.5912	271.11	compute-e-16-180.o2.rc.hms.harvard.edu	110.52000000000001	474.78
ecoli	bc	31	1	101.5768	273.86	compute-e-16-188.o2.rc.hms.harvard.edu	101.49000000000001	456.432
ecoli	bc	32	1	204.3842	328.20	compute-e-16-184.o2.rc.hms.harvard.edu	204.31	456.972
ecoli	bc	11	4	95.6049	147.46	compute-e-16-182.o2.rc.hms.harvard.edu	95.11	243.836
ecoli	bc	12	4	113.8612	1121.89	compute-e-16-184.o2.rc.hms.harvard.edu	113.34	1145.432
ecoli	bc	13	4	115.9425	1109.00	compute-f-17-15.o2.rc.hms.harvard.edu	113.81	1132.232
ecoli	bc	14	4	72.31	239.24	compute-e-16-182.o2.rc.hms.harvard.edu	72.05	1152.68
ecoli	bc	15	4	57.3061	239.03	compute-e-16-182.o2.rc.hms.harvard.edu	57.18	1144.66
ecoli	bc	16	4	56.8274	1132.52	compute-a-16-134.o2.rc.hms.harvard.edu	56.68	1156.324
ecoli	bc	17	4	81.2239	228.25	compute-e-16-190.o2.rc.hms.harvard.edu	81.12	233.88
ecoli	bc	18	4	51.2344	217.43	compute-f-17-14.o2.rc.hms.harvard.edu	50.96	1107.176
ecoli	bc	19	4	46.2445	217.81	compute-f-17-16.o2.rc.hms.harvard.edu	46.06	1005.984
ecoli	bc	20	4	47.32	220.81	compute-e-16-241.o2.rc.hms.harvard.edu	47.26	796.68
ecoli	bc	21	4	42.1929	214.47	compute-e-16-188.o2.rc.hms.harvard.edu	42.11	736.052
ecoli	bc	22	4	43.6219	212.51	compute-f-17-16.o2.rc.hms.harvard.edu	43.56	619.596
