species	method	k	threads	hostname	cputime	mem
spneumoniae	bc	22	1	compute-e-16-188.o2.rc.hms.harvard.edu	52.8	370524
spneumoniae	bc	23	1	compute-e-16-238.o2.rc.hms.harvard.edu	58.24	349080
spneumoniae	bc	24	1	compute-e-16-241.o2.rc.hms.harvard.edu	55.68	332620
spneumoniae	bc	25	1	compute-e-16-183.o2.rc.hms.harvard.edu	55.39	315664
spneumoniae	bc	26	1	compute-e-16-188.o2.rc.hms.harvard.edu	52.64	315816
spneumoniae	bc	27	1	compute-e-16-241.o2.rc.hms.harvard.edu	53.76	298444
spneumoniae	bc	28	1	compute-e-16-239.o2.rc.hms.harvard.edu	55.61	293144
spneumoniae	bc	29	1	compute-f-17-11.o2.rc.hms.harvard.edu	66.05	300604
spneumoniae	bc	30	1	compute-e-16-187.o2.rc.hms.harvard.edu	56.47	289936
spneumoniae	bc	31	1	compute-e-16-188.o2.rc.hms.harvard.edu	50.29	266928
spneumoniae	bc	32	1	compute-e-16-186.o2.rc.hms.harvard.edu	106.35	308992
spneumoniae	bc	11	4	compute-a-16-136.o2.rc.hms.harvard.edu	58.56	1081012
spneumoniae	bc	12	4	compute-a-16-155.o2.rc.hms.harvard.edu	59.54	1129568
spneumoniae	bc	13	4	compute-f-17-12.o2.rc.hms.harvard.edu	50.36	645796
spneumoniae	bc	14	4	compute-a-16-87.o2.rc.hms.harvard.edu	37.86	1139724
spneumoniae	bc	15	4	compute-a-16-108.o2.rc.hms.harvard.edu	34.63	913704
spneumoniae	bc	16	4	compute-a-16-132.o2.rc.hms.harvard.edu	34.81	227964
spneumoniae	bc	17	4	compute-e-16-187.o2.rc.hms.harvard.edu	34.45	539616
spneumoniae	bc	18	4	compute-e-16-189.o2.rc.hms.harvard.edu	26.95	466268
spneumoniae	bc	19	4	compute-a-16-59.o2.rc.hms.harvard.edu	27.65	501864
spneumoniae	bc	20	4	compute-a-17-121.o2.rc.hms.harvard.edu	30.29	407328
spneumoniae	bc	21	4	compute-e-16-238.o2.rc.hms.harvard.edu	26.23	378752
spneumoniae	bc	22	4	compute-e-16-180.o2.rc.hms.harvard.edu	25.7	371892
spneumoniae	bc	23	4	compute-e-16-192.o2.rc.hms.harvard.edu	39.73	184836
spneumoniae	bc	24	4	compute-e-16-191.o2.rc.hms.harvard.edu	24.58	353888
