name	simplitigs	cum len	kmers
acidisarcina_polymorpha.bc27.fsa	5694	7616678	7468634
acidisarcina_polymorpha.bc31.fsa	4383	7606722	7475232
acidisarcina_polymorpha.pa19.fsa	4264	7522941	7446189
acidisarcina_polymorpha.pa23.fsa	2526	7515364	7459792
acidisarcina_polymorpha.pa27.fsa	1769	7514628	7468634
acidisarcina_polymorpha.pa31.fsa	1405	7517382	7475232
acidithiobacillus_caldus.bc19.fsa	34595	4345428	3722718
acidithiobacillus_caldus.bc23.fsa	27772	4373965	3762981
acidithiobacillus_caldus.bc27.fsa	24799	4442845	3798071
acidithiobacillus_caldus.bc31.fsa	22503	4504833	3829743
acidithiobacillus_caldus.pa19.fsa	10771	3916596	3722718
acidithiobacillus_caldus.pa23.fsa	9149	3964259	3762981
acidithiobacillus_caldus.pa27.fsa	8078	4008099	3798071
acidithiobacillus_caldus.pa31.fsa	7478	4054083	3829743
acidithiobacillus_ferridurans.bc19.fsa	4987	2927439	2837673
acidithiobacillus_ferridurans.bc23.fsa	2492	2896736	2841912
acidithiobacillus_ferridurans.bc27.fsa	1827	2892210	2844708
acidithiobacillus_ferridurans.bc31.fsa	1410	2889124	2846824
acidithiobacillus_ferridurans.pa19.fsa	1330	2861613	2837673
acidithiobacillus_ferridurans.pa23.fsa	804	2859600	2841912
acidithiobacillus_ferridurans.pa27.fsa	574	2859632	2844708
acidithiobacillus_ferridurans.pa31.fsa	466	2860804	2846824
acidithiobacillus_ferrivorans.bc19.fsa	5773	3205687	3101773
acidithiobacillus_ferrivorans.bc23.fsa	3395	3181929	3107239
acidithiobacillus_ferrivorans.bc27.fsa	2711	3181736	3111250
acidithiobacillus_ferrivorans.bc31.fsa	2187	3180095	3114485
acidithiobacillus_ferrivorans.pa19.fsa	1620	3130933	3101773
acidithiobacillus_ferrivorans.pa23.fsa	1089	3131197	3107239
acidithiobacillus_ferrivorans.pa27.fsa	861	3133636	3111250
acidithiobacillus_ferrivorans.pa31.fsa	710	3135785	3114485
acidithiobacillus_ferrooxidans.bc19.fsa	11266	3306009	3103221
acidithiobacillus_ferrooxidans.bc23.fsa	7777	3286169	3115075
