species	genomes
leclercia_sp	8
leptospira_borgpetersenii	6
leptospira_interrogans	16
leptotrichia_wadei	4
leucobacter_sp	4
leuconostoc_citreum	5
leuconostoc_lactis	4
leuconostoc_mesenteroides	19
lysinibacillus_sp	4
macrococcus_canis	4
mannheimia_haemolytica	83
mannheimia_varigena	4
maribacter_sp	4
marinobacter_sp	8
melissococcus_plutonius	4
mesorhizobium_japonicum	6
mesorhizobium_sp	13
methylobacterium_sp	10
microbacterium_sp	16
microbulbifer_sp	5
micrococcus_luteus	10
microcystis_aeruginosa	6
moraxella_bovoculi	7
moraxella_osloensis	8
mucilaginibacter_sp	4
mycobacterium_chimaera	9
mycobacterium_sp	10
mycobacteroides_abscessus	34
mycoplasma_sp	5
myxococcus_xanthus	7
nocardioides_sp	13
nonlabens_sp	4
nostoc_sp	8
novosphingobium_sp	5
oblitimonas_alkaliphila	6
paenibacillus_sp	25
pandoraea_apista	5
pandoraea_pnomenusa	7
pantoea_sp	5
pantoea_vagans	6
parabacteroides_distasonis	4
paraburkholderia_caribensis	4
paraburkholderia_sp	4
paracoccus_sp	5
paracoccus_yeei	4
pasteurella_multocida	61
pectobacterium_atrosepticum	4
pectobacterium_brasiliense	5
pectobacterium_parmentieri	12
pediococcus_acidilactici	15
pediococcus_damnosus	5
pediococcus_pentosaceus	15
pedobacter_sp	4
phaeobacter_gallaeciensis	8
phaeobacter_inhibens	22
phaeobacter_piscinae	7
photobacterium_damselae	5
photorhabdus_laumondii	4
piscirickettsia_salmonis	78
planctomycetes_bacterium	26
polaribacter_sp	4
polynucleobacter_asymbioticus	4
porphyromonas_gingivalis	21
prochlorococcus_marinus	10
proteus_cibarius	4
providencia_sp	4
pseudarthrobacter_sp	4
pseudoalteromonas_sp	11
pseudomonas_amygdali	4
pseudomonas_brassicacearum	6
pseudomonas_chlororaphis	44
pseudomonas_monteilii	8
pseudomonas_orientalis	5
pseudomonas_protegens	10
pseudomonas_sp	100
pseudomonas_synxantha	6
pseudomonas_syringae	4
pseudonocardia_sp	6
psychrobacter_sp	7
rahnella_aquatilis	6
raoultella_ornithinolytica	10
rathayibacter_sp	4
rhizobium_sp	24
rhodobacter_sphaeroides	10
rhodobacteraceae_bacterium	5
rhodococcus_sp	24
rhodopseudomonas_palustris	9
rhodothermus_marinus	4
rickettsia_heilongjiangensis	5
rickettsia_japonica	14
rickettsia_prowazekii	10
rickettsia_rickettsii	11
riemerella_anatipestifer	10
roseovarius_sp	5
salinibacter_ruber	8
salmonella_bongori	5
salmonella_sp	4
serratia_fonticola	5
serratia_plymuthica	6
